,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
709,left,everydayfeminism.com,https://everydayfeminism.com,57,22814,Everyday Feminism,44,HIGH,https://mediabiasfactcheck.com/everyday-feminism/,/,https://facebook.com/everydayfeminism,
710,left-center,factmyth.com,https://factmyth.com,41,3819,Fact/Myth,20,HIGH,https://mediabiasfactcheck.com/factmyth/,/,,
711,right-center,faithfamilyamerica.com,https://faithfamilyamerica.com,32,18262,Faith Family America,22,HIGH,https://mediabiasfactcheck.com/faith-family-america/,/,https://facebook.com/faithfamilyamerica,
712,left,evonomics.com,https://evonomics.com,48,92829,Evonomics,63,HIGH,https://mediabiasfactcheck.com/evonomics/,/,https://facebook.com/evonomics,https://twitter.com/evonomicsmag
713,center,factwire.org,https://factwire.org,34,1318,Factwire News Agency,30,HIGH,https://mediabiasfactcheck.com/factwire-news-agency/,/,,
714,pro-science,examine.com,https://examine.com,58,45799,Examine.com,48,HIGH,https://mediabiasfactcheck.com/examine-com/,/,https://facebook.com/examinecom,https://twitter.com/examinecom
715,fake-news,factswanted.com,https://factswanted.com,21,8636,Facts Wanted,11,MIXED,https://mediabiasfactcheck.com/facts-wanted/,/,https://facebook.com/betterstu,
716,left-center,exposingtruth.com,https://exposingtruth.com,39,441,Exposing the Truth,27,HIGH,https://mediabiasfactcheck.com/exposing-the-truth/,/,https://facebook.com/exposingthetruth,
717,center,factcheck.org,https://factcheck.org,67,1026991,Fact Check,88,VERY HIGH,https://mediabiasfactcheck.com/factcheck/,/,https://facebook.com/factcheck.org,https://twitter.com/factcheckdotorg
718,left-center,fair.org,https://fair.org,59,719217,Fairness and Accuracy in Reporting,86,HIGH,https://mediabiasfactcheck.com/fairness-accuracy-in-reporting-fair/,/,https://facebook.com/fairmediawatch,https://twitter.com/fairmediawatch
719,left-center,factbox.tv,https://factbox.tv,26,396,Factbox.TV,26,HIGH,https://mediabiasfactcheck.com/factbox-tv/,/,,
720,fake-news,factcheckingturkey.com,https://factcheckingturkey.com,25,18684,Fact Checking Turkey,44,MIXED,https://mediabiasfactcheck.com/fact-checking-turkey/,/,https://facebook.com/factcheckingtr,https://twitter.com/factcheckingtr
721,conspiracy,faithpanda.com,https://faithpanda.com,29,22,FaithPanda,18,MIXED,https://mediabiasfactcheck.com/faithpanda/,/,https://facebook.com/faithpandapage,
722,conspiracy,extraordinaryinfo.com,https://extraordinaryinfo.com,19,11,Extraordinary News,17,MIXED,https://mediabiasfactcheck.com/extraordinary-news/,/,,
723,center,factscan.ca,https://factscan.ca,36,634,FactsCan,28,VERY HIGH,https://mediabiasfactcheck.com/factscan/,/,https://facebook.com/factscanada,
724,right,factsandlogic.org,https://factsandlogic.org,35,13173,Facts and Logic about the Middle East,42,MIXED,https://mediabiasfactcheck.com/facts-and-logic-about-the-middle-east-flame/,/,,
725,conspiracy,evolutionnews.org,https://evolutionnews.org,54,77632,Evolution News and Views,61,LOW,https://mediabiasfactcheck.com/evolution-news-and-views/,/,https://facebook.com/discoverycsc,
726,center,fairobserver.com,https://fairobserver.com,53,39524,Fair Observer,53,HIGH,https://mediabiasfactcheck.com/fair-observer/,/,https://facebook.com/fairobserver,
727,left-center,fairvote.org,https://fairvote.org,57,285114,FairVote,77,HIGH,https://mediabiasfactcheck.com/fairvote/,/,https://facebook.com/fairvotereform,
728,fake-news,exposinggovernment.com,https://exposinggovernment.com,20,173,Exposing Government,25,LOW,https://mediabiasfactcheck.com/exposing-government/,/,,
729,left,feministing.com,https://feministing.com,60,872260,Feministing,88,HIGH,https://mediabiasfactcheck.com/feministing/,/,https://facebook.com/feministing,
730,satire,fedsalert.com,https://fedsalert.com,21,14,FedsAlert,17,SATIRE,https://mediabiasfactcheck.com/fedsalert/,/,,
731,fake-news,frc.org,https://frc.org,61,268084,Family Research Council,76,LOW,https://mediabiasfactcheck.com/family-research-council/,/,https://facebook.com/familyresearchcouncil,https://twitter.com/frcaction
732,right,fedsoc.org,https://fedsoc.org,48,118815,Federalist Society,65,MIXED,https://mediabiasfactcheck.com/federalist-society/,/,https://facebook.com/federalist.society,
733,left,feministcurrent.com,https://feministcurrent.com,47,29707,Feminist Current,47,HIGH,https://mediabiasfactcheck.com/feminist-current/,/,https://facebook.com/feministcurrent,https://twitter.com/feministcurrent
734,center,federalnewsradio.com,https://federalnewsradio.com,52,76890,Federal News Radio,61,HIGH,https://mediabiasfactcheck.com/federal-news-radio/,/,https://facebook.com/fednewsnetwork,https://twitter.com/federalnewsnet
735,conspiracy,fellowshipoftheminds.com,https://fellowshipoftheminds.com,49,107649,Fellowship of the Minds,60,LOW,https://mediabiasfactcheck.com/fellowship-of-the-minds/,/,,
736,center,federaltimes.com,https://federaltimes.com,55,322531,Federal Times,78,HIGH,https://mediabiasfactcheck.com/federal-times/,/,https://facebook.com/federaltimes,https://twitter.com/federaltimes
737,pro-science,fas.org,https://fas.org,62,343289,Federation of American Scientists,75,VERY HIGH,https://mediabiasfactcheck.com/federation-of-american-scientists-fas/,/,https://facebook.com/fascientists,https://twitter.com/fascientists
738,left-center,fastcompany.com,https://fastcompany.com,73,991152,Fast Company,87,HIGH,https://mediabiasfactcheck.com/fast-company-magazine/,/,https://facebook.com/fastcompany,https://twitter.com/fastcompany
739,conspiracy,familysurvivalheadlines.com,https://familysurvivalheadlines.com,27,56596,Family Survival Headlines,33,LOW,https://mediabiasfactcheck.com/family-survival-headlines/,/,https://facebook.com/theundergroundworldnews,
740,right,faithwire.com,https://faithwire.com,44,9559,FaithWire,40,MIXED,https://mediabiasfactcheck.com/faithwire/,/,https://facebook.com/faithwirenews,
741,right,fakehatecrimes.org,https://fakehatecrimes.org,43,5275,Fake Hate Crimes,33,MOSTLY FACTUAL,https://mediabiasfactcheck.com/fake-hate-crimes/,/,,
742,left-center,feministfrequency.com,https://feministfrequency.com,53,25029,Feminst Frequency,48,HIGH,https://mediabiasfactcheck.com/feminist-frequency/,/,https://facebook.com/femfreq,
743,right,familysecuritymatters.org,https://familysecuritymatters.org,0,0,Family Security Matters,0,MIXED,https://mediabiasfactcheck.com/family-security-matters/,/,,
744,fake-news,federalistnation.com,https://federalistnation.com,20,2568,Federalist Nation,20,LOW,https://mediabiasfactcheck.com/federalist-nation/,/,,
745,right,farleftwatch.com,https://farleftwatch.com,39,12007,Far Left Watch,42,MIXED,https://mediabiasfactcheck.com/far-left-watch/,/,https://facebook.com/theflw,https://twitter.com/farleftwatch
746,right,federalistpress.com,https://federalistpress.com,31,2134,Federalist Press,21,MIXED,https://mediabiasfactcheck.com/federalist-press/,/,https://facebook.com/federalistpress,
747,left,fifthestate.org,https://fifthestate.org,42,61920,Fifth Estate,58,HIGH,https://mediabiasfactcheck.com/fifth-estate/,/,https://facebook.com/fifthestatemag,
748,right-center,financialpost.com,https://financialpost.com,62,221789,Financial Post,69,MOSTLY FACTUAL,https://mediabiasfactcheck.com/financial-post/,/,https://facebook.com/financialpost,https://twitter.com/financialpost
749,center,firstdraftnews.org,https://firstdraftnews.org,47,12390,First Draft News,41,HIGH,https://mediabiasfactcheck.com/first-draft-news/,/,https://facebook.com/firstdraftnews?ref,https://twitter.com/firstdraftnews
750,fake-news,floridasunpost.com,https://floridasunpost.com,29,16,Florida Sun-Post,18,VERY LOW,https://mediabiasfactcheck.com/florida-sun-post/,/,https://www.facebook.com/tr/?id,
751,right-center,jacksonville.com,https://jacksonville.com,61,466106,Florida Times Union,59,HIGH,https://mediabiasfactcheck.com/florida-times-union/,/,https://facebook.com/fltimesunion,https://twitter.com/jaxdotcom
752,left,thefifthcolumnnews.com,https://thefifthcolumnnews.com,44,69819,Fifth Column News,55,MIXED,https://mediabiasfactcheck.com/fifth-column-news/,/,https://facebook.com/thefifthcolumnnews,
753,left,firstpost.com,https://firstpost.com,64,5496571,First Post,94,HIGH,https://mediabiasfactcheck.com/first-post/,/,https://facebook.com/firstpostin,https://twitter.com/firstpost
754,satire,fmobserver.com,https://fmobserver.com,35,7720,FM Observer,30,SATIRE,https://mediabiasfactcheck.com/fm-observer/,/,https://facebook.com/fmobserver,https://twitter.com/fmobserver
755,conspiracy,ff911truthandunity.org,https://ff911truthandunity.org,31,14595,Firefighters for 9/11 Unity and Truth,44,MIXED,https://mediabiasfactcheck.com/firefighters-for-9-11-truth-and-unity/,/,https://facebook.com/ff911truthandunity,https://twitter.com/ff911truthunity
756,right-center,fitsnews.com,https://fitsnews.com,54,136766,FitsNews,62,HIGH,https://mediabiasfactcheck.com/fitsnews/,/,https://facebook.com/fitsnews,https://twitter.com/fitsnews
757,fake-news,usafortrumponline.com,https://usafortrumponline.com,12,551,Flex Mag,11,LOW,https://mediabiasfactcheck.com/flex-mag/,/,https://facebook.com/admin432123,
758,center,financialexpress.com,https://financialexpress.com,64,3073880,Financal Express,94,HIGH,https://mediabiasfactcheck.com/financial-express/,/,https://facebook.com/thefinancialexpress,https://twitter.com/febdonline
759,left-center,fightforthefuture.org,https://fightforthefuture.org,58,48834,Fight for the Future,54,HIGH,https://mediabiasfactcheck.com/fight-for-the-future/,/,https://facebook.com/fightfortheftr,https://twitter.com/fightfortheftr
760,left,filmingcops.com,https://filmingcops.com,43,19078,Filming Cops,41,HIGH,https://mediabiasfactcheck.com/filming-cops/,/,,
761,fake-news,flashnewscorner.com,https://flashnewscorner.com,20,17,Flash News Corner,15,VERY LOW,https://mediabiasfactcheck.com/flash-news-corner/,/,,
762,left-center,fivethirtyeight.com,https://fivethirtyeight.com,68,2341886,FivethirtyEight,94,HIGH,https://mediabiasfactcheck.com/fivethirtyeight/,/,https://facebook.com/fivethirtyeight,https://twitter.com/fivethirtyeight
763,right,firstthings.com,https://firstthings.com,62,943092,First Things Magazine,88,MIXED,https://mediabiasfactcheck.com/first-things-magazine/,/,https://facebook.com/firstthings,https://twitter.com/firstthingsmag
764,center,ft.com,https://ft.com,77,6923493,Financal Times,97,HIGH,https://mediabiasfactcheck.com/financial-times/,/,,https://twitter.com/financialtimes
765,right,firstinfreedomdaily.com,https://firstinfreedomdaily.com,26,8102,First in Freedom Daily,36,MIXED,https://mediabiasfactcheck.com/first-freedom-daily/,/,https://facebook.com/fifdaily,https://twitter.com/fifdaily
766,right-center,foreignpolicyi.org,https://foreignpolicyi.org,49,9731,Foreign Policy Initiative,40,HIGH,https://mediabiasfactcheck.com/foreign-policy-initiative/,/,,
767,left,foreignpolicynews.org,https://foreignpolicynews.org,37,7837,Foreign Policy News,24,MIXED,https://mediabiasfactcheck.com/foreign-policy-news/,/,http://facebook.com/foreignpolicynews,https://twitter.com/foreignpolicyns
768,right-center,fortnightlyreview.co.uk,https://fortnightlyreview.co.uk,40,16217,Fortnightly Review,43,HIGH,https://mediabiasfactcheck.com/fortnightly-review/,/,,
769,conspiracy,foodmatters.com,https://foodmatters.com,49,57202,Food Matters,56,MIXED,https://mediabiasfactcheck.com/food-matters/,/,https://facebook.com/foodmatters,https://twitter.com/foodmattersfilm
770,right-center,forbes.com,https://forbes.com,82,6223025,Forbes,97,MOSTLY FACTUAL,https://mediabiasfactcheck.com/forbes/,/,https://facebook.com/forbes,https://twitter.com/forbes
771,conspiracy,foreverconscious.com,https://foreverconscious.com,46,27684,Forever Conscious,48,LOW,https://mediabiasfactcheck.com/forever-conscious/,/,https://facebook.com/foreverconscious,
772,left,foreignpolicyjournal.com,https://foreignpolicyjournal.com,55,181386,Foreign Policy Journal,71,MIXED,https://mediabiasfactcheck.com/foreign-policy-journal/,/,https://facebook.com/foreignpolicyjournal,https://twitter.com/forpoljournal
773,fake-news,focusonthefamily.com,https://focusonthefamily.com,63,429975,Focus on the Family,81,LOW,https://mediabiasfactcheck.com/focus-on-the-family/,/,https://facebook.com/focusonthefamily,
774,right,defenddemocracy.org,https://defenddemocracy.org,55,212592,Foundation for Defense of Democracies,73,HIGH,https://mediabiasfactcheck.com/foundation-defense-democracies/,/,https://facebook.com/followfdd,
775,center,foreignpolicy.com,https://foreignpolicy.com,66,944030,Foreign Policy,88,HIGH,https://mediabiasfactcheck.com/foreign-policy/,/,https://facebook.com/foreign.policy.magazine,https://twitter.com/foreignpolicy
776,center,foreignaffairs.com,https://foreignaffairs.com,64,1345506,Foreign Affairs,90,HIGH,https://mediabiasfactcheck.com/foreign-affairs/,/,https://facebook.com/foreignaffairs,https://twitter.com/foreignaffairs
777,left,forwardprogressives.com,https://forwardprogressives.com,42,3921,Forward Progressives,35,HIGH,https://mediabiasfactcheck.com/forward-progressives/,/,,
778,left,foodandwaterwatch.org,https://foodandwaterwatch.org,60,510188,Food and Water Watch,64,MIXED,https://mediabiasfactcheck.com/food-and-water-watch/,/,https://facebook.com/foodandwaterwatch,https://twitter.com/foodandwater
779,left-center,fwweekly.com,https://fwweekly.com,54,79706,Fort Worth Weekly,44,HIGH,https://mediabiasfactcheck.com/fort-worth-weekly/,/,https://facebook.com/fortworthweekly,https://twitter.com/fortworthweekly
780,left-center,fpif.org,https://fpif.org,54,279443,Foreign Policy in Focus,76,HIGH,https://mediabiasfactcheck.com/foreign-policy-focus/,/,https://facebook.com/foreign-policy-in-focus,https://twitter.com/fpif
781,right-center,fortune.com,https://fortune.com,70,857465,Fortune Magazine,84,HIGH,https://mediabiasfactcheck.com/fortune-magazine/,/,https://facebook.com/fortunemagazine,https://twitter.com/fortunemagazine
782,right-center,fpri.org,https://fpri.org,55,55132,Foreign Policy Research Institute,57,VERY HIGH,https://mediabiasfactcheck.com/foreign-policy-research-institute/,/,https://facebook.com/fprinews,
783,right-center,fee.org,https://fee.org,59,1091446,Foundation for Economic Education,89,MIXED,https://mediabiasfactcheck.com/foundation-for-economic-education/,/,https://facebook.com/feeonline,https://twitter.com/feeonline
784,conspiracy,foodbabe.com,https://foodbabe.com,56,44480,Food Babe,54,MIXED,https://mediabiasfactcheck.com/food-babe/,/,https://facebook.com/thefoodbabe,https://twitter.com/thefoodbabe
785,conspiracy,thefreethoughtproject.com,https://thefreethoughtproject.com,57,1503377,Free Thought Project,91,LOW,https://mediabiasfactcheck.com/free-thought-project/,/,https://facebook.com/thefreethoughtprojectcom,
786,left-center,freakonomics.com,https://freakonomics.com,62,719590,Freakonomics,86,HIGH,https://mediabiasfactcheck.com/freakonomics-radio/,/,https://facebook.com/freakonomics,
787,right,freedomcrossroads.com,https://freedomcrossroads.com/,24,621,Freedom Cross Roads,19,MIXED,https://mediabiasfactcheck.com/freedom-crossroads/,/,,
788,conspiracy,freedomadvocates.org,https://freedomadvocates.org,49,317189,Freedom Advocates,78,LOW,https://mediabiasfactcheck.com/freedom-advocates-agenda-21/,/,,
789,fake-news,politicsonline.net,https://politicsonline.net,27,37,PoliticsOnline.net,0,LOW,https://mediabiasfactcheck.com/free-speech-time/,/,,
790,fake-news,freepatriotpost.com,https://freepatriotpost.com,25,262,Free Patriot Post,16,LOW,https://mediabiasfactcheck.com/free-patriot-post/,/,,
791,center,france24.com,https://france24.com,67,2350166,France 24,94,HIGH,https://mediabiasfactcheck.com/france24/,/,,
792,satire,freewoodpost.com,https://freewoodpost.com,49,3890,Free Wood Post,35,SATIRE,https://mediabiasfactcheck.com/free-wood-post/,/,,
793,left,frnewsreport.com,https://frnewsreport.com,13,3,Free Rein News,13,HIGH,https://mediabiasfactcheck.com/free-rein-report/,/,https://facebook.com/freereinreport,
794,right-center,fraserinstitute.org,https://fraserinstitute.org,57,191448,Fraser Institute,70,MIXED,https://mediabiasfactcheck.com/fraser-institute/,/,https://facebook.com/fraserinstitute,
795,center,freewheelus.com,https://freewheelus.com,14,2967,Free Wheel Media,33,HIGH,https://mediabiasfactcheck.com/free-wheel-media/,/,https://facebook.com/freewheelmedia,https://twitter.com/freewheel_media
796,right-center,franklincenterhq.org,https://franklincenterhq.org,43,29898,Franklin Center for Government and Public Integrity,50,MIXED,https://mediabiasfactcheck.com/franklin-center-for-government-and-public-integrity/,/,https://facebook.com/franklincenterhq,https://twitter.com/franklincenter
797,right,foxnews.com,https://foxnews.com,79,15148777,Fox News,100,MIXED,https://mediabiasfactcheck.com/fox-news/,/,https://facebook.com/foxnews,https://twitter.com/foxnews
